ID,Link,Name,Rating,Price,Cuisines
110,https://www.swiggy.com/restaurants/box8-desi-meals-azad-nagar-mysore-road-bangalore-425570,BOX8 - Desi Meals,4.1,250 for two,"North Indian, Biryani"
111,https://www.swiggy.com/restaurants/goli-vada-pav-no-1-2nd-block-jayanagar-bangalore-2040,Goli Vada Pav No.1,4.4,100 for two,"Maharashtrian, North Indian"
112,https://www.swiggy.com/restaurants/california-burrito-gandhi-bazaar-basavanagudi-bangalore-484182,California Burrito,4.5,250 for two,"Mexican, American"
113,https://www.swiggy.com/restaurants/polar-bear-ice-cream-sundaes-kavilakshmisha-road-basavanagudi-bangalore-5893,Polar Bear Ice Cream Sundaes,4.5,300 for two,"Ice Cream, Desserts"
114,https://www.swiggy.com/restaurants/baskin-robbins-ice-cream-desserts-gt-world-mall-vijay-nagar-bangalore-476594,Baskin Robbins - Ice Cream Desserts,4.4,250 for two,"Desserts, Ice Cream"
115,https://www.swiggy.com/restaurants/nandhana-palace-rajajinagar-bangalore-18975,Nandhana Palace,4.2,500 for two,"Biryani, Andhra"
116,https://www.swiggy.com/restaurants/frozen-bottle-milkshakes-desserts-and-ice-cream-magadi-road-bangalore-45008,"Frozen Bottle - Milkshakes, Desserts And Ice Cream",4.2,250 for two,"Beverages, Desserts"
117,https://www.swiggy.com/restaurants/ibaco-basavanagudi-m-n-krishna-rao-road-bangalore-49840,Ibaco,4.3,800 for two,Desserts
118,https://www.swiggy.com/restaurants/rolls-on-wheels-banashankari-bangalore-1469,Rolls On Wheels,4.1,300 for two,"Fast Food, North Indian"
119,https://www.swiggy.com/restaurants/beijing-bites-2nd-stage-banashankari-bangalore-8392,Beijing Bites,4.2,450 for two,"Chinese, Thai"
120,https://www.swiggy.com/restaurants/keventers-milkshakes-and-desserts-mantri-square-mall-malleshwaram-bangalore-349629,Keventers - Milkshakes &amp; Desserts,4.4,200 for two,"Beverages, Ice Cream"
121,https://www.swiggy.com/restaurants/lassi-shop-rpc-layout-vijayanagar-bangalore-178838,Lassi Shop,4.3,200 for two,"Beverages, Desserts"
122,https://www.swiggy.com/restaurants/churmur-chaat-co-rama-nagar-central-bangalore-bangalore-329938,Churmur Chaat Co,4.5,250 for two,"Chaat, Snacks"
123,https://www.swiggy.com/restaurants/pizza-hut-lulu-india-shopping-mal-magadi-road-bangalore-426713,Pizza Hut,4,300 for two,Pizzas
124,https://www.swiggy.com/restaurants/salt-indian-restaurant-bar-and-grill-whitefield-central-bangalore-bangalore-484939,Salt - Indian Restaurant Bar &amp; Grill,4.5,1000 for two,"South Indian, Indian"
125,https://www.swiggy.com/restaurants/goodness-to-go-lavelle-road-bangalore-604781,Goodness To Go,4.4,350 for two,"European, Italian"
126,https://www.swiggy.com/restaurants/sri-durga-chats-and-icecream-parlour-vijayanagar-since-1996-sbi-staff-colony-vijayanagar-bangalore-67964,Sri Durga Chats and Icecream Parlour Vijayanagar Since 1996,4.3,80 for two,"Chinese, South Indian"
127,https://www.swiggy.com/restaurants/all-saints-bakery-brigade-road-ashok-nagar-bangalore-15870,All Saints Bakery,4.4,200 for two,"Bakery, Snacks"
128,https://www.swiggy.com/restaurants/indraprastha-vegetarian-mc-layout-vijayanagar-bangalore-48677,Indraprastha Vegetarian,4.3,300 for two,"South Indian, North Indian"
129,https://www.swiggy.com/restaurants/smoke-house-deli-ashok-nagar-lavelle-road-bangalore-10238,Smoke House Deli,4.4,800 for two,"Italian, Continental"
130,https://www.swiggy.com/restaurants/restaurant-chef-pillai-ashok-nagar-central-bangalore-bangalore-739040,Restaurant Chef Pillai,4.6,1400 for two,"South Indian, Seafood"
131,https://www.swiggy.com/restaurants/amadora-gourmet-ice-cream-u-b-city-vittal-mallaya-bangalore-737841,Amadora Gourmet Ice Cream,4.4,500 for two,"Desserts, Ice Cream"
132,https://www.swiggy.com/restaurants/cafe-noir-vittal-mallya-road-bangalore-53605,Cafe Noir,4.2,800 for two,"European, Continental"
133,https://www.swiggy.com/restaurants/biryanis-and-more-jayanagar-bangalore-29002,Biryanis And More,4.1,400 for two,"North Indian, Chinese"
134,https://www.swiggy.com/restaurants/boss-burger-ashok-nagar-lavelle-road-bangalore-234701,BOSS Burger,4,500 for two,"Burgers, American"
135,https://www.swiggy.com/restaurants/glens-bakehouse-lavelle-road-ashok-nagar-bangalore-17376,Glen&#39;s Bakehouse,4.5,500 for two,"Desserts, Bakery"
136,https://www.swiggy.com/restaurants/taste-of-tibet-brigade-road-bangalore-410844,Taste Of Tibet,4.3,250 for two,Chinese
137,https://www.swiggy.com/restaurants/the-doner-company-shawarmas-and-more-shanthinagara-central-bangalore-bangalore-697850,The Doner Company - Shawarmas &amp; More,4,500 for two,"Middle Eastern, Lebanese"
138,https://www.swiggy.com/restaurants/misu-palace-road-seshadripuram-bangalore-241420,Misu,4.3,1300 for two,"Asian, Chinese"
139,https://www.swiggy.com/restaurants/taiki-3rd-block-jayanagar-bangalore-337997,Taiki,4.1,800 for two,"Japanese, Pan-Asian"
140,https://www.swiggy.com/restaurants/fanoos-johnson-market-richmond-road-bangalore-2824,Fanoos,4.1,300 for two,"Biryani, Tandoor"
141,https://www.swiggy.com/restaurants/lakeview-milkbar-mg-road-bangalore-2832,Lakeview Milkbar,4.2,450 for two,"Desserts, Ice Cream"
142,https://www.swiggy.com/restaurants/qmin-cafe-rajajinagar-basaveshwaranagar-bangalore-690935,Qmin Cafe,4.6,200 for two,"Cafe, Beverages"
143,https://www.swiggy.com/restaurants/gochick-brigade-road-central-bangalore-bangalore-742282,Gochick,4,400 for two,"Burgers, Snacks"
144,https://www.swiggy.com/restaurants/taco-bell-vatal-nagaraj-road-magadi-road-bangalore-442110,Taco Bell,4.2,300 for two,Mexican
145,https://www.swiggy.com/restaurants/shawarma-on-wheels-cafe-coffee-day-banashankari-bangalore-661004,Shawarma on Wheels,4,400 for two,"Arabian, Snacks"
146,https://www.swiggy.com/restaurants/tadka-singh-magrath-road-church-street-bangalore-2843,Tadka Singh,4.3,300 for two,"Punjabi, North Indian"
147,https://www.swiggy.com/restaurants/the-fatty-bao-lavelle-road-bangalore-289970,The Fatty Bao,4.3,1000 for two,"Asian, Japanese"
148,https://www.swiggy.com/restaurants/tandoori-taal-prestige-trade-tower-ashok-nagar-bangalore-290399,Tandoori Taal,4.4,700 for two,Indian
149,https://www.swiggy.com/restaurants/burger-seigneur-st-marks-road-bangalore-354531,Burger Seigneur,4.4,1200 for two,"American, Continental"
150,https://www.swiggy.com/restaurants/namaste-sampige-road-malleshwaram-bangalore-639122,Namaste,4.2,100 for two,"South Indian, Thalis"
151,https://www.swiggy.com/restaurants/brik-oven-high-grounds-bangalore-245536,Brik Oven,4.2,700 for two,"Italian, Pizzas"
152,https://www.swiggy.com/restaurants/paris-panini-gourmet-sandwiches-and-wraps-church-street-central-bangalore-bangalore-667962,Paris Panini - Gourmet Sandwiches &amp; Wraps,4.5,500 for two,"Continental, Pastas"
153,https://www.swiggy.com/restaurants/itc-master-chef-creations-industrial-town-rajaji-nagar-bangalore-409528,ITC Master Chef Creations,4.4,650 for two,"North Indian, Biryani"
154,https://www.swiggy.com/restaurants/art-of-delight-ice-creams-sundaes-and-desserts-residency-road-ashok-nagar-bangalore-2811,"Art of Delight - Ice Creams, Sundaes and Desserts",4.5,250 for two,"Ice Cream, Desserts"
155,https://www.swiggy.com/restaurants/the-pizza-bakery-church-street-ashok-nagar-bangalore-342643,The Pizza Bakery,4.4,700 for two,"Pizzas, Pastas"
156,https://www.swiggy.com/restaurants/daily-sushi-shanthala-nagar-ashok-nagar-bangalore-600456,Daily Sushi,4.4,800 for two,"Japanese, Asian"
157,https://www.swiggy.com/restaurants/sri-udupi-park-galaxy-mall-residency-road-bangalore-4046,Sri Udupi Park,4.4,200 for two,"North Indian, South Indian"
158,https://www.swiggy.com/restaurants/living-bowls-7th-phase-brigade-road-bangalore-557322,Living Bowls,4.1,500 for two,"Salads, Continental"
159,https://www.swiggy.com/restaurants/truffles-st-marks-road-bangalore-3369,Truffles,4.5,450 for two,"American, Desserts"
160,https://www.swiggy.com/restaurants/chai-galli-2nd-phase-church-street-bangalore-644151,Chai Galli,4.2,250 for two,"Beverages, Snacks"
